play_id,number_of_obstacles,cleared?,status,message,created_at
1,5,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:07 PM
2,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:07 PM
3,5,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:07 PM
4,9,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:07 PM
5,1,True,1,Success! You reached a target.,9/15/2020 1:05:10 PM
6,11,True,1,Success! You reached a target.,9/15/2020 1:05:10 PM
7,1,True,1,Success! You reached a target.,9/15/2020 1:05:12 PM
8,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:12 PM
9,1,True,1,Success! You reached a target.,9/15/2020 1:05:13 PM
10,5,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:14 PM
11,11,False,3,Failed! You fell off the floor.,9/15/2020 1:05:15 PM
12,1,True,1,Success! You reached a target.,9/15/2020 1:05:17 PM
13,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:18 PM
14,1,True,1,Success! You reached a target.,9/15/2020 1:05:19 PM
15,1,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:19 PM
16,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:20 PM
17,9,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:20 PM
18,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:22 PM
19,5,True,1,Success! You reached a target.,9/15/2020 1:05:23 PM
20,3,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:23 PM
21,9,True,1,Success! You reached a target.,9/15/2020 1:05:23 PM
22,3,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:23 PM
23,5,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:25 PM
24,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:25 PM
25,1,True,1,Success! You reached a target.,9/15/2020 1:05:26 PM
26,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:26 PM
27,5,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:26 PM
28,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:26 PM
29,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:26 PM
30,7,True,1,Success! You reached a target.,9/15/2020 1:05:27 PM
31,1,True,1,Success! You reached a target.,9/15/2020 1:05:28 PM
32,9,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:28 PM
33,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:28 PM
34,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:28 PM
35,7,False,3,Failed! You fell off the floor.,9/15/2020 1:05:31 PM
36,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:31 PM
37,3,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:31 PM
38,5,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:31 PM
39,9,True,1,Success! You reached a target.,9/15/2020 1:05:33 PM
40,5,True,1,Success! You reached a target.,9/15/2020 1:05:33 PM
41,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:33 PM
42,3,True,1,Success! You reached a target.,9/15/2020 1:05:45 PM
43,9,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:46 PM
44,11,True,1,Success! You reached a target.,9/15/2020 1:05:46 PM
45,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:46 PM
46,3,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:46 PM
47,1,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:46 PM
48,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:46 PM
49,3,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:47 PM
50,1,True,1,Success! You reached a target.,9/15/2020 1:05:51 PM
51,3,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:51 PM
52,5,True,1,Success! You reached a target.,9/15/2020 1:05:51 PM
53,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:52 PM
54,1,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:52 PM
55,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:52 PM
56,3,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:54 PM
57,1,True,1,Success! You reached a target.,9/15/2020 1:05:57 PM
58,1,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:57 PM
59,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:58 PM
60,9,True,1,Success! You reached a target.,9/15/2020 1:05:58 PM
61,5,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:58 PM
62,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:58 PM
63,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:59 PM
64,9,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:59 PM
65,5,True,1,Success! You reached a target.,9/15/2020 1:05:59 PM
66,9,False,2,Failed! You collided with an abstacle.,9/15/2020 1:05:59 PM
67,3,True,1,Success! You reached a target.,9/15/2020 1:06:01 PM
68,3,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:01 PM
69,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:03 PM
70,11,True,1,Success! You reached a target.,9/15/2020 1:06:04 PM
71,5,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:04 PM
72,3,True,1,Success! You reached a target.,9/15/2020 1:06:05 PM
73,9,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:05 PM
74,9,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:07 PM
75,3,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:07 PM
76,1,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:12 PM
77,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:12 PM
78,7,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:12 PM
79,11,False,2,Failed! You collided with an abstacle.,9/15/2020 1:06:12 PM
