play_id,number_of_obstacles,cleared?,status,message,created_at
1,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:34:24 AM
2,9,True,1,Success! You reached a target.,9/15/2020 2:34:24 AM
3,1,True,1,Success! You reached a target.,9/15/2020 2:34:25 AM
4,1,True,1,Success! You reached a target.,9/15/2020 2:34:27 AM
5,3,True,1,Success! You reached a target.,9/15/2020 2:34:28 AM
6,3,True,1,Success! You reached a target.,9/15/2020 2:34:28 AM
7,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:34:30 AM
8,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:34:30 AM
9,1,True,1,Success! You reached a target.,9/15/2020 2:34:33 AM
10,1,False,3,Failed! You fell off the floor.,9/15/2020 2:34:36 AM
11,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:34:36 AM
12,5,False,2,Failed! You collided with an abstacle.,9/15/2020 2:34:36 AM
13,3,False,2,Failed! You collided with an abstacle.,9/15/2020 2:34:36 AM
14,9,True,1,Success! You reached a target.,9/15/2020 2:34:36 AM
15,3,True,1,Success! You reached a target.,9/15/2020 2:34:37 AM
16,9,True,1,Success! You reached a target.,9/15/2020 2:34:39 AM
17,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:34:40 AM
18,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:34:40 AM
19,1,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:24 AM
20,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:24 AM
21,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:24 AM
22,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:24 AM
23,1,True,1,Success! You reached a target.,9/15/2020 2:35:24 AM
24,1,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:27 AM
25,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:27 AM
26,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:27 AM
27,1,True,1,Success! You reached a target.,9/15/2020 2:35:31 AM
28,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:31 AM
29,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:31 AM
30,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:31 AM
31,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:31 AM
32,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:31 AM
33,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:31 AM
34,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:32 AM
35,1,True,1,Success! You reached a target.,9/15/2020 2:35:32 AM
36,1,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:33 AM
37,11,True,1,Success! You reached a target.,9/15/2020 2:35:33 AM
38,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:33 AM
39,7,True,1,Success! You reached a target.,9/15/2020 2:35:33 AM
40,3,True,1,Success! You reached a target.,9/15/2020 2:35:33 AM
41,5,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:33 AM
42,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:34 AM
43,11,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:34 AM
44,11,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:34 AM
45,1,True,1,Success! You reached a target.,9/15/2020 2:35:35 AM
46,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:35 AM
47,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:36 AM
48,11,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:40 AM
49,11,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
50,3,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
51,11,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
52,1,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
53,11,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
54,9,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
55,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
56,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
57,3,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
58,7,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:41 AM
59,3,False,2,Failed! You collided with an abstacle.,9/15/2020 2:35:43 AM
60,5,True,1,Success! You reached a target.,9/15/2020 2:35:44 AM
