play_id,number_of_obstacles,cleared?,status,message,created_at
1,5,True,1,Success! You reached a target.,9/15/2020 4:09:46 PM
2,3,False,2,Failed! You collided with an abstacle.,9/15/2020 4:09:47 PM
3,11,False,2,Failed! You collided with an abstacle.,9/15/2020 4:09:47 PM
4,1,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:01 PM
5,11,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:01 PM
6,7,True,1,Success! You reached a target.,9/15/2020 4:10:01 PM
7,3,True,1,Success! You reached a target.,9/15/2020 4:10:02 PM
8,11,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:02 PM
9,11,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:02 PM
10,11,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:02 PM
11,1,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:04 PM
12,9,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:04 PM
13,5,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:04 PM
14,5,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:06 PM
15,7,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:06 PM
16,11,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:06 PM
17,9,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:06 PM
18,9,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:07 PM
19,11,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:07 PM
20,9,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:07 PM
21,1,False,3,Failed! You fell off the floor.,9/15/2020 4:10:13 PM
22,7,True,1,Success! You reached a target.,9/15/2020 4:10:14 PM
23,5,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:14 PM
24,9,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:14 PM
25,11,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:15 PM
26,11,True,1,Success! You reached a target.,9/15/2020 4:10:15 PM
27,9,True,1,Success! You reached a target.,9/15/2020 4:10:15 PM
28,5,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:16 PM
29,11,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:16 PM
30,5,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:17 PM
31,9,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:17 PM
32,1,True,1,Success! You reached a target.,9/15/2020 4:10:19 PM
33,3,False,3,Failed! You fell off the floor.,9/15/2020 4:10:22 PM
34,7,True,1,Success! You reached a target.,9/15/2020 4:10:23 PM
35,1,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:26 PM
36,9,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:26 PM
37,7,False,3,Failed! You fell off the floor.,9/15/2020 4:10:28 PM
38,9,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:28 PM
39,5,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:28 PM
40,7,False,2,Failed! You collided with an abstacle.,9/15/2020 4:10:29 PM
